id,Label,Category
1,Alfred Wegner Institute,RI
2,AusAID,Donor
3,BAPPEDA Kutai Barat,Govt
4,Borneo Orangutan Survival Foundation,NGO
5,BOS International,Corp
6,BPKEL,Govt
7,Clinton Climate Initiative-Forestry program,Found.
8,Clinton Foundation,Found.
9,CO2 Operate BV,Corp
10,Conservation International,BINGO
11,Daemeter Consulting,Corp
12,Daikin Industries,Corp
13,Darwin Initiative,Govt
14,Deutsche Post,Corp
15,Disney,Corp
16,Dutch Royal Government,Govt
17,Emerald Planet,BINGO
18,Eni SPA,Corp
19,Environmental Accounting Services,Corp
20,EQT AB,Corp
21,EU,I/O
22,European bank,Bank
23,FFI,BINGO
24,Gazprom Marketing & Trading,Corp
25,"German Embassy, Jakarta Office",Govt
26,GIZ,Corp
27,Global Eco Rescue,Corp
28,GLS,Corp
29,Greenchoice,Corp
30,ICAP,Corp
31,ICCO,I/O
32,ICRAF,RI
33,Idonesian Ministry of Forestry and Environment,Govt
34,Indonesian central government,Govt
35,Indonesian local government,Govt
36,InfiniteEARTH,Corp
37,Intuit Inc.,Corp
38,Itoki Corporation,Corp
39,ITT Docomo,Corp
40,Kering,Corp
41,KKI Warsi,NGO
42,Kreditanstalt fur Wiederaufbau,Bank
43,Krombach Brewery,Corp
44,Kutai Barat district forestry agency,Govt
45,KYEEMA Foundation,Found.
46,Lembaga Tiga Beradik,NGO
47,Leuser Development Corporation,Corp
48,Livelihoods Fund,Corp
49,M.A. Cargill Grant,Found.
50,Mangrove Action Project (MAP),BINGO
51,Ministry of Forestry,Govt
52,NORAD,Donor
53,PT Rimba Raya Conservation,Corp
54,PT. Inhutani II,Corp
55,PT. Rimba Makmur,Corp
56,PT. Yamamoto Asri,Corp
57,Rainforest Foundation Norway,BINGO
58,RARE Conservation,BINGO
59,Remote Sensing Solutions,Corp
60,"Research Institute for the Environment and Livelihoods, Charles Darwin University (RIEL)",RI
61,Rimbawan Muda Indonesia,NGO
62,Shell Canada,Corp
63,Stand for Trees,BINGO
64,Starling Resources,Corp
65,Stockholm Exergi,Corp
66,Sumalindo Unit II,Corp
67,Terra Global Capital,Corp
68,TNC,BINGO
69,UNIQUE forestry and land use GmbH,Corp
70,Universitas Nasional,Uni
71,Universitas Palangkaraya,Uni
72,University of Tasmania,Uni
73,UNPR,N/A
74,US Government,Govt
75,UZH Museum of Antropology,RI
76,WeNow,Corp
77,Willmott Dixon Foundation,Corp
78,Winrock International,BINGO
79,World Education Inc.,BINGO
80,WWF,BINGO
81,WWF Germany,BINGO
82,WWF Indonesia,NGO
83,Yayasan Puter,NGO
84,Yayasan Timor Membangun ,NGO
85,Yayorin,NGO
86,"YL Invest Co., Ltd.",Corp
87,Zoos Victoria,Corp
88,Zurich Insurance Company Ltd,Corp
